2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:03 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:29 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
